site_id,sheet,collected,counted,completed,elapsed_s,method,outcome,note
kirj-ee-archive,Estonia Research Centers,3619,146,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
klimaraadet-dk-da,덴마크완료,84,84,True,249.5,count_crawl,ok,stealth_ok=89 stealth_fail=0 fallback=0
kisdi-re-kr-bbs,한국완료,502,933,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
kma-go-kr-kma,한국완료,86,58,True,158.1,count_crawl,ok,stealth_ok=65 stealth_fail=0 fallback=0
kisdi-re-kr-report,한국완료,501,526,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
kli-re-kr-kli,한국완료,500,499,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
kliimaministeerium-ee-otsing,Estonia Ministries,10,10,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
knowledge-barnardos-ie-browse,Irish Research Centers,365,0,True,6.9,count_crawl,fetch_fail,caps_neutralized:_MAX_PAGES=200->10000000;_MAX_SECONDS=1500->10000000 | stealth_ok=1 stealth_fail=0 fallback=0
kommunekredit-com-about-us,덴마크완료,24,24,True,145.8,count_crawl,ok,stealth_ok=1 stealth_fail=0 fallback=0
klri-re-kr-kor,한국완료,590,303,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
kommunikasjon-ntb-no-presserom,Norway Research Centers,116,20,True,65.7,count_crawl,ok,stealth_ok=23 stealth_fail=0 fallback=0
kmcc-go-kr-userdo,한국완료,666,507,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
kmi-re-kr-web,한국완료,445,425,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
kna-forest-go-kr-kfsweb,한국완료,372,375,True,1086.7,count_crawl,ok,stealth_ok=414 stealth_fail=0 fallback=0
kostat-go-kr-boardes,한국완료,100,102,True,337.0,count_crawl,ok,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=114 stealth_fail=0 fallback=0
krihs-re-kr-krihslibraryarticle,한국완료,744,744,True,291.1,count_crawl,ok,stealth_ok=129 stealth_fail=0 fallback=0
krihs-re-kr-krihslibraryreport,한국완료,168,150,True,347.8,count_crawl,ok,stealth_ok=165 stealth_fail=0 fallback=0
knmi-nl-kennis-en-datacentru,Dutch Research Centers,388,326,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
koti-re-kr-user,한국완료,373,414,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
krei-re-kr-krei,한국완료,1450,815,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
krihs-re-kr-boardes,한국완료,600,547,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
krivet-re-kr,한국완료,1,518,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
lenus-ie-browse,Irish Research Centers,168,0,True,7.0,count_crawl,fetch_fail,caps_neutralized:SAFETY_PAGE_CAP=200->10000000 | stealth_ok=1 stealth_fail=0 fallback=0
krivet-re-kr-kor,한국완료,500,450,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
library-kwrwater-nl-en,Dutch Research Centers,51,25,True,6.6,count_crawl,ok,stealth_ok=0 stealth_fail=0 fallback=0
kwdi-re-kr-plaza,한국완료,819,276,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
llnl-gov-news,American Research Institutes,3537,0,True,4.7,count_crawl,zero_parsed,stealth_ok=1 stealth_fail=0 fallback=0
lne-fr-fr,French Research Institutes,40,42,True,166.3,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=49 stealth_fail=0 fallback=0
kwdi-re-kr-publications,한국완료,500,423,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
marine-ie-site-area,Irish Research Centers,24,0,True,119.8,count_crawl,fetch_fail,stealth_ok=18 stealth_fail=0 fallback=0
lavoro-gov-it-stampa-e-media,Italy Ministries,340,294,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
lecese-fr-espace-presse,French Public Institutions,500,451,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
mbie-govt-nz-building-and-energy,뉴질랜드완료,80,18,True,97.8,count_crawl,ok,stealth_ok=20 stealth_fail=0 fallback=0
lib-cssn-cn-zy,중국 완료,204,204,True,1079.9,count_crawl,ok,stealth_ok=236 stealth_fail=328 fallback=328
mentalhealthcommission-ca-resources,Canadian Research Centers,589,0,True,44.3,count_crawl,fetch_fail,stealth_ok=2 stealth_fail=0 fallback=0
mem-gov-cn-fw,중국 완료,62,63,True,278.6,count_crawl,ok,stealth_ok=84 stealth_fail=0 fallback=0
libreria-educacion-gob-es-p,Spain Ministries,330,152,False,1205.7,count_crawl,site_timeout,external_timeout_kill:lower_bound
meteofrance-fr-actualite,French Research Institutes,94,97,True,48.3,count_crawl,ok,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=14 stealth_fail=0 fallback=0
mafra-go-kr-home,한국완료,761,401,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
mef-gov-it-ufficio-stampa,Italy Ministries,204,209,True,666.0,count_crawl,ok,stealth_ok=233 stealth_fail=0 fallback=0
masaf-gov-it-flex,Italy Ministries,601,465,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
meri-belspo-be-site,벨기에완료,21,21,True,888.8,count_crawl,ok,stealth_ok=0 stealth_fail=164 fallback=164
met-no-publikasjoner,Norway Research Centers,116,0,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
miit-gov-cn-zc,중국 완료,104,0,True,3.2,count_crawl,fetch_fail,stealth_ok=1 stealth_fail=0 fallback=0
meteoswiss-admin-ch-services-and-publica,Switzerland Research Centers,440,385,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
mim-gov-it-web,Italy Ministries,41,20,True,61.7,count_crawl,ok,stealth_ok=22 stealth_fail=0 fallback=0
mfat-govt-nz-en,뉴질랜드완료,11,1,False,1205.4,count_crawl,site_timeout,external_timeout_kill:lower_bound
mfds-go-kr-brd,한국완료,461,14,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
migration-gov-gr-press,Greece Ministries,1618,1900,True,838.2,count_crawl,ok,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=191 stealth_fail=0 fallback=0
mimit-gov-it-it,Italy Ministries,92,93,True,442.1,count_crawl,ok,stealth_ok=109 stealth_fail=0 fallback=0
minedu-gov-gr-grafeio-typoy-kai-di,Greece Ministries,404,0,True,2.0,count_crawl,zero_parsed,stealth_ok=1 stealth_fail=0 fallback=0
miit-gov-cn-zwgk,중국 완료,26,26,True,610.4,count_crawl,ok,stealth_ok=38 stealth_fail=164 fallback=164
mi-se-arkiv,스웨덴 완료,632,135,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
minagric-gr-the-ministry-2,Greece Ministries,267,239,False,1205.6,count_crawl,site_timeout,external_timeout_kill:lower_bound
mindev-gov-gr-category,Greece Ministries,3514,280,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
minfin-gov-gr-grafeio-typou,Greece Ministries,1797,0,True,954.8,count_crawl,fetch_fail,caps_neutralized:_MAX_PAGES=200->10000000 | stealth_ok=0 stealth_fail=164 fallback=164
mindigital-gr-archives,Greece Ministries,675,479,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
ministeroturismo-gov-it-category,Italy Ministries,1014,994,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
ministryofjustice-gr,Greece Ministries,261,262,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
minscfa-gov-gr-grafeio-typou,Greece Ministries,626,0,True,982.4,count_crawl,fetch_fail,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=0 stealth_fail=164 fallback=164
mnd-go-kr-user,한국완료,304,0,True,94.0,count_crawl,zero_parsed,stealth_ok=0 stealth_fail=0 fallback=0
mod-mil-gr-category,Greece Ministries,470,0,True,9.6,count_crawl,zero_parsed,caps_neutralized:MAX_PAGES=200->10000000 | stealth_ok=3 stealth_fail=0 fallback=0
minrel-gob-cl-minrel,Chile Ministries,4547,530,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
moe-gov-cn-jyb_sjzl,중국 완료,28,28,True,98.4,count_crawl,ok,stealth_ok=31 stealth_fail=0 fallback=0
mintour-gov-gr-deltia-typoy,Greece Ministries,394,336,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
miteco-gob-es-es,Spain Ministries,379,322,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
moe-gov-cn-jyb_xxgk,중국 완료,18,18,True,82.7,count_crawl,ok,stealth_ok=19 stealth_fail=0 fallback=0
mivau-gob-es-el-ministerio,Spain Ministries,473,340,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
mma-go-kr-board,한국완료,616,430,False,1205.5,count_crawl,site_timeout,external_timeout_kill:lower_bound
moe-go-kr-boardcnts,한국완료,1250,300,True,754.8,count_crawl,ok,stealth_ok=331 stealth_fail=0 fallback=0
mof-gov-cn-en,중국 완료,9,9,True,433.0,count_crawl,ok,stealth_ok=10 stealth_fail=164 fallback=164
