site_id,site_name,status,category,reason,collected
ed-gov-about,Custom: ed-gov-about,된다,,,224
eda-admin-ch-eda,Custom: eda-admin-ch-eda,된다,,,12
edi-admin-ch-de,Custom: edi-admin-ch-de,된다,,,360
edoc-rki-de-handle,Custom: edoc-rki-de-handle,된다,,,20
educacionfpydeportes-gob-es-prensahtml,Custom: educacionfpydeportes-gob-es-prensahtml,된다,,,347
education-govt-nz-our-work,Custom: education-govt-nz-our-work,된다,,,34
education-govt-nz-search,Custom: education-govt-nz-search,된다,,,66
education-ni-gov-uk-news,Custom: education-ni-gov-uk-news,된다,,,503
edx-netl-doe-gov-group,Custom: edx-netl-doe-gov-group,된다,,,100
efd-admin-ch-en,Custom: efd-admin-ch-en,된다,,,500
efk-admin-ch-fr,Custom: efk-admin-ch-fr,된다,,,26
ehesp-fr-espace-presse,Custom: ehesp-fr-espace-presse,된다,,,127
ehess-hal-science-search,Custom: ehess-hal-science-search,된다,,,429
ejournals-epublishing-ekt-gr-indexphp,Custom: ejournals-epublishing-ekt-gr-indexphp,된다,,,474
elocus-lib-uoc-gr-search,Custom: elocus-lib-uoc-gr-search,된다,,,282
em-dk-aktuelt,Custom: em-dk-aktuelt,된다,,,350
em-lyon-com-en,Custom: em-lyon-com-en,된다,,,348
emep-int-mscw,Custom: emep-int-mscw,된다,,,213
emsl-pnnl-gov-science,Custom: emsl-pnnl-gov-science,된다,,,6
en-ird-fr-sections,Custom: en-ird-fr-sections,된다,,,84
en-iwhr-cn-iwhr-english-new,Custom: en-iwhr-cn-iwhr-english-new,안된다,IP차단,"우리 IP 차단(403/WAF) — 클라이언트 egress에서 재확인 필요, 코드문제 아님",458
en-moj-gov-cn-lawsandregulationsht,Custom: en-moj-gov-cn-lawsandregulationsht,된다,,,15
en-ndrc-gov-cn-policies,Custom: en-ndrc-gov-cn-policies,된다,,,52
en-nhc-gov-cn-publicationshtml,Custom: en-nhc-gov-cn-publicationshtml,된다,,,9
en-nim-ac-cn-taxonomy,Custom: en-nim-ac-cn-taxonomy,된다,,,303
enac-hal-science-search,Custom: enac-hal-science-search,된다,,,549
enc-hal-science-search,Custom: enc-hal-science-search,된다,,,509
energy-gov-management,Custom: energy-gov-management,된다,,,388
energy-gov-open-government,Custom: energy-gov-open-government,된다,,,10
energy-gov-search,Custom: energy-gov-search,된다,,,191
eng-mod-gov-cn-2025xb,Custom: eng-mod-gov-cn-2025xb,된다,,,10
english-cnipa-gov-cn-col,Custom: english-cnipa-gov-cn-col,된다,,,353
english-mee-gov-cn-resources,Custom: english-mee-gov-cn-resources,된다,,,20
