site_id,status,counted,html_list_하한
netl-doe-gov-search-r-d-publicati,lowerbound_need2h,338,166
news-admin-ch-en,notrust_need2h,,7
nfa-go-kr-nfa,notrust_need2h,,95
nhc-gov-cn-wjw,exact_done,26,10
nhlbi-nih-gov-resources,exact_done,271,188
nia-nih-gov-news,exact_done,59,57
niaaa-nih-gov-news-events,notrust_need2h,,80
niams-nih-gov-newsroom,notrust_need2h,,15
nibib-nih-gov-news-events,notrust_need2h,,39
nibio-no-en,notrust_need2h,,34
nichd-nih-gov-newsroom,lowerbound_need2h,197,95
nida-nih-gov-news-events,notrust_need2h,,46
nidcd-nih-gov-news,exact_done,5,0
nidcd-nih-gov-order,notrust_need2h,,0
nidcr-nih-gov-news-events,notrust_need2h,,88
niddk-nih-gov-news,exact_done,99,99
nidi-nl-en,lowerbound_need2h,142,70
niehs-nih-gov-newsreleases,notrust_need2h,,40
nifu-no-en,lowerbound_need2h,138,20
nigms-nih-gov-news,notrust_need2h,,21
nih-gov-news-events,notrust_need2h,,0
nih-gov-press-room,notrust_need2h,,0
nikhef-nl-pub,notrust_need2h,,4
nim-ac-cn-taxonomy,exact_done,34,34
nimh-nih-gov-news,lowerbound_need2h,261,157
nimhd-nih-gov-news-events,exact_done,13,13
nin-nl-publications,lowerbound_need2h,357,201
ninds-nih-gov-news-events,notrust_need2h,,73
ninds-nih-gov-publications,exact_done,70,70
nioo-knaw-nl-en,notrust_need2h,,75
nisra-gov-uk-publications,lowerbound_need2h,502,249
nist-gov-publications,lowerbound_need2h,347,207
nivel-nl-en,lowerbound_need2h,370,168
nkvts-no-english,notrust_need2h,,0
nnsa-mee-gov-cn-english,exact_done,10,10
noc-ac-uk-about-us,lowerbound_need2h,0,0
noc-ac-uk-publications,exact_done,25,54
nordlandsforskning-no-en,exact_done,396,217
nps-or-kr-inforls,exact_done,0,89
nps-or-kr-pnsgdnc,lowerbound_need2h,0,138
nrc-re-kr-boardes,exact_done,237,116
ntp-niehs-nih-gov-publications,lowerbound_need2h,532,261
nts-go-kr-nts,notrust_need2h,,42
nupi-no-en,exact_done,0,0
nypi-re-kr,lowerbound_need2h,589,298
nypi-re-kr-board,notrust_need2h,,151
nzpri-aut-ac-nz-document-library,notrust_need2h,,0
oig-treasury-gov-other-reports-testim,exact_done,1354,1354
om-mp-be-nl,notrust_need2h,,0
onera-fr-fr,exact_done,148,148
ons-gov-uk-search,exact_done,333,285
openaire-eu-os-slovenia,notrust_need2h,,28
opendata-centralbank-ie-dataset,exact_done,39,39
opendatacommunities-org-data,exact_done,0,0
opengov-seoul-go-kr-research,lowerbound_need2h,357,209
openscience-si-naprednoiskanjeaspx,exact_done,19,19
opm-go-kr-opm,lowerbound_need2h,489,251
ots-at-pressemappe,lowerbound_need2h,303,169
par-nsf-gov-search,lowerbound_need2h,2360,1370
pbc-gov-cn-en,notrust_need2h,,224
pbl-nl-en,lowerbound_need2h,231,133
pbocri-org-cn-lnzy3html,exact_done,0,0
pbocri-org-cn-xslwhtml,notrust_need2h,,2
plan-be-nl,lowerbound_need2h,117,90
pleanala-ie-en-ie,notrust_need2h,,50
pmc-gov-au-resources,exact_done,0,0
police-go-kr-user,lowerbound_need2h,768,365
policyalternatives-ca-news-research,lowerbound_need2h,1026,593
politie-be-statistieken,notrust_need2h,,95
polytechnique-edu-presse,lowerbound_need2h,232,128
portaldiplomatico-mne-gov-pt-en,lowerbound_need2h,241,37
pps-go-kr-kor,notrust_need2h,,291
presse-cnam-fr-communiques,exact_done,38,38
presse-curie-fr-section,lowerbound_need2h,171,36
presse-economie-gouv-fr,lowerbound_need2h,1881,578
prism-go-kr-homepage,lowerbound_need2h,20621,9301
provenienzforschung-gv-at-empfehlungen-des-bei,lowerbound_need2h,0,0
psi-ch-en,lowerbound_need2h,273,152
ptb-de-cms,exact_done,8,8
publications-idiap-ch-publications,lowerbound_need2h,120,35
publicsafety-gc-ca-cnt,notrust_need2h,,0
publicservice-govt-nz-data,exact_done,61,61
publicservice-govt-nz-research-and-data,notrust_need2h,,110
publikationen-bundesregierung-de-pp-de,notrust_need2h,,64
pubs-drdc-rddc-gc-ca-basis,notrust_need2h,,4966
pubs-usgs-gov,lowerbound_need2h,658,333
pubshop-bmbwf-gv-at-indexphp,lowerbound_need2h,499,144
pure-mpg-de-search,notrust_need2h,,25
rcaanc-cirnac-gc-ca-eng,exact_done,33,33
rda-go-kr-board,lowerbound_need2h,792,372
regjeringen-no-en,notrust_need2h,,0
reglementation-controle-asnr-fr-information,notrust_need2h,,6
regulation-govt-nz-about-us,exact_done,312,179
repository-lboro-ac-uk,notrust_need2h,,129
repository-library-noaa-gov-view,lowerbound_need2h,548,290
repository-naturalis-nl,lowerbound_need2h,777,364
repository-tno-nl-doclist,lowerbound_need2h,263,160
reseau-canope-fr-espace-presse,exact_done,19,19
rigsrevisionen-dk-revisionssager,lowerbound_need2h,648,316
rijksoverheid-nl-documenten,notrust_need2h,,0
ris-bka-gv-at-ergebniswxe,lowerbound_need2h,101,82
rki-de-de,notrust_need2h,,67
ruomoplus-lib-uom-gr-simple-search,lowerbound_need2h,514,256
saemangeum-go-kr-sda,lowerbound_need2h,321,177
safefood-net-news,exact_done,0,0
sante-gouv-fr-ministere,lowerbound_need2h,60,15
santepubliquefrance-fr-presse,lowerbound_need2h,159,30
sastind-gov-cn-n10086200,lowerbound_need2h,372,255
scaht-org-en,lowerbound_need2h,183,28
science-astron-nl-science-astron,lowerbound_need2h,0,0
science-libraries-canada-ca-eng,exact_done,31,15
scourt-go-kr-portal,lowerbound_need2h,1177,526
search-open-canada-ca-opendata,exact_done,80,238
search-worldcat-org-ko,exact_done,13,13
seco-admin-ch-seco,notrust_need2h,,281
seer-cancer-gov-report_to_nation,exact_done,24,24
sejong-go-kr-bbs,lowerbound_need2h,1241,530
sfi-ch-en,lowerbound_need2h,211,36
sgu-se-en,notrust_need2h,,54
si-re-kr-bbs,lowerbound_need2h,297,160
sib-swiss-community,lowerbound_need2h,359,188
sib-swiss-training,exact_done,67,67
sintef-no-en,lowerbound_need2h,140,99
skillsdevelopmentscotland-co-uk-publications-statist,exact_done,487,487
skm-dk-aktuelt,lowerbound_need2h,241,142
sm-dk-publikationer,exact_done,354,297
sm-ee-otsing,exact_done,337,267
socialstyrelsen-se-en,lowerbound_need2h,0,0
sonar-ch-global,exact_done,5364,4039
sozialministerium-gv-at-services,lowerbound_need2h,60,17
spo-go-kr-site,notrust_need2h,,227
stat-inst-se-om-sis,lowerbound_need2h,0,0
state-gov-department-reports,notrust_need2h,,10
state-gwd-go-kr-portal,lowerbound_need2h,570,326
stats-govt-nz-indicators,notrust_need2h,,109
stepi-re-kr-site,lowerbound_need2h,941,486
swisspeace-ch-publications,exact_done,305,49
swisstph-ch-en,lowerbound_need2h,417,141
telemarksforsking-no-publikasjoner,lowerbound_need2h,161,9
tigta-gov-reports,lowerbound_need2h,0,0
toi-no-publications,lowerbound_need2h,275,114
transparency-gov-au-publications,exact_done,0,0
transportation-gov-newsroom,exact_done,0,0
transportes-gob-es-el-ministerio,lowerbound_need2h,225,120
treasury-gov-au-publication,lowerbound_need2h,589,259
ufm-dk-publikationer,notrust_need2h,,38
ulsan-go-kr-u,notrust_need2h,,58
um-dk-om-os,exact_done,24,24
ungeneva-org-en,exact_done,91,68
unidata-gv-at-pages,exact_done,0,73
unikorea-go-kr-web,notrust_need2h,,41
usgs-gov-news,lowerbound_need2h,243,164
ustat-mur-gov-it,exact_done,94,94
uvek-admin-ch-en,notrust_need2h,,50
va-gov-vetdata,notrust_need2h,,114
vbs-admin-ch-en,exact_done,50,21
vtg-admin-ch-en,exact_done,18,18
wbf-admin-ch-en,notrust_need2h,,0
wef-infor-cl-indexphp,notrust_need2h,,453
werk-belgie-be-nl,lowerbound_need2h,203,132
who-int-publications,lowerbound_need2h,188,139
women-govt-nz-library,exact_done,14,14
www2-mrc-lmb-cam-ac-uk-research,exact_done,16,16
www6-slac-stanford-edu-news-and-events,lowerbound_need2h,190,145
xxgk-mot-gov-cn-2020,exact_done,460,89
ypen-gov-gr-category,lowerbound_need2h,330,184
ypergasias-gov-gr-category,notrust_need2h,,0
ypes-gr-category,lowerbound_need2h,1785,634
