site_id,site_name,evidence,collected
dhs-gov-news-releases,Custom: dhs-gov-news-releases,ok(건강검진),79
dhs-gov-publication,Custom: dhs-gov-publication,ok(건강검진),29
dia-govt-nz-diawebsitensf,Custom: dia-govt-nz-diawebsitensf,ok(건강검진),28
didaktorika-gr-eadd,Custom: didaktorika-gr-eadd,ok(건강검진),118
difesa-it-il-ministro,Custom: difesa-it-il-ministro,ok(건강검진),101
differ-nl-publications,Custom: differ-nl-publications,ok(건강검진),198
digital-gob-es-comunicacion,Custom: digital-gob-es-comunicacion,ok(건강검진),416
diplomatie-gouv-fr-en,Custom: diplomatie-gouv-fr-en,ok(건강검진),551
directives-doe-gov-directives-browse,Custom: directives-doe-gov-directives-browse,ok(건강검진),205
directives-doe-gov-guidance,Custom: directives-doe-gov-guidance,ok(건강검진),260
doaj-org-search,Custom: doaj-org-search,ok(건강검진),1417
doi-gov-bpp,Custom: doi-gov-bpp,ok(건강검진),204
dol-gov-newsroom,Custom: dol-gov-newsroom,ok(건강검진),275
doras-dcu-ie-view,Custom: doras-dcu-ie-view,ok(건강검진),2229
dpmc-govt-nz-publications,Custom: dpmc-govt-nz-publications,ok(건강검진),571
drc-gov-cn-leafaspx,Custom: drc-gov-cn-leafaspx,ok(건강검진),555
drugsandalcohol-ie-cgi,Custom: drugsandalcohol-ie-cgi,ok(건강검진),500
dspace-emu-ee-search,Custom: dspace-emu-ee-search,ok(건강검진),500
dspace-ut-ee-search,Custom: dspace-ut-ee-search,ok(건강검진),125
dst-dk-da,Custom: dst-dk-da,ok(건강검진),408
dtic-dimensions-ai-discover,Custom: dtic-dimensions-ai-discover,ok(건강검진),500
e-stat-go-jp-stat-search,Custom: e-stat-go-jp-stat-search,ok(건강검진),1018
earlham-ac-uk-newsroom,Custom: earlham-ac-uk-newsroom,ok(건강검진),278
earth-prints-org,Custom: earth-prints-org,ok(건강검진),796
ec-lyon-hal-science-search,Custom: ec-lyon-hal-science-search,ok(건강검진),222
ecat-ga-gov-au-geonetwork,Custom: ecat-ga-gov-au-geonetwork,ok(건강검진),796
